letter,frequency_%
a,8.390233809228222
b,1.3656114214773432
c,3.010552451893234
d,3.6519759983447133
e,10.780053796813574
f,2.1932547072211874
g,1.8001241464928615
h,5.9383405752120835
i,8.059176494930686
j,0.16552865714876888
k,0.9414442375336229
l,3.910614525139665
m,3.0622801572522245
n,6.7970204841713215
o,8.34885164494103
p,1.6345954893440928
q,0.051727705358990274
r,5.845230705565902
s,6.869439271673909
t,8.576453548520588
u,2.9484792054624456
v,1.0655907303951997
w,2.1415270018621975
x,0.17587419822056694
y,2.244982412580178
z,0.031036623215394164
